seq,send_ts_ms,rtt_ms,est_oneway_ms
240,122552812.583624,39.633604,19.816802
241,122552820.985093,31.298622,15.649311
242,122552823.336917,28.965348,14.482674
243,122552828.915595,23.40025,11.700125
244,122552830.023724,22.305448,11.152724
245,122552876.535826,7.100424,3.550212
246,122552882.604291,11.304729,5.652364
247,122552895.676063,5.821787,2.910893
248,122552923.047352,6.975744,3.487872
249,122553075.797139,8.570466,4.285233
250,122553082.099799,12.320571,6.160285
251,122553084.566064,12.276252,6.138126
252,122553089.993126,17.176403,8.588201
253,122553092.165493,15.103732,7.551866
254,122553100.926985,7.473712,3.736856
255,122553105.157717,12.412552,6.206276
256,122553106.245639,12.546357,6.273178
257,122553118.309905,8.423087,4.211543
258,122553119.369696,8.757987,4.378993
259,122553121.550899,6.722111,3.361055
260,122553122.628971,9.053927,4.526963
261,122553125.915521,8.248184,4.124092
262,122553135.535988,6.894571,3.447285
263,122553137.704119,9.48439,4.742195
264,122553141.110164,8.417704,4.208852
265,122553333.376707,9.768939,4.884469
266,122553366.164429,12.003182,6.001591
267,122553369.384542,12.108642,6.054321
268,122553370.481134,16.726961,8.36348
269,122553371.585987,15.65899,7.829495
270,122553373.817051,14.510653,7.255326
271,122553374.936775,13.427202,6.713601
272,122553376.047802,12.334893,6.167446
273,122553377.144075,13.409592,6.704796
274,122553378.25074,12.335174,6.167587
275,122553402.260617,7.671909,3.835954
276,122553404.532484,6.549098,3.274549
277,122553422.087416,6.726813,3.363406
278,122553428.63644,5.759484,2.879742
279,122553436.227515,5.920065,2.960032
280,122553453.622035,8.136346,4.068173
281,122553518.792475,5.861516,2.930758
282,122553522.080384,6.156971,3.078485
283,122553528.630686,5.880549,2.940274
284,122553601.204951,10.769729,5.384864
285,122553627.290593,5.531741,2.76587
286,122553643.527619,5.478561,2.73928
287,122553644.619698,6.59298,3.29649
288,122553652.318114,10.818751,5.409375
289,122553653.45395,9.719097,4.859548
290,122553673.351501,9.830229,4.915114
291,122553674.430042,8.793953,4.396976
292,122553678.782852,7.652964,3.826482
293,122553682.097579,8.729155,4.364577
294,122553696.245891,7.573144,3.786572
295,122553929.113017,10.839794,5.419897
296,122553933.405816,9.815607,4.907803
297,122553934.489888,8.75294,4.37647
